Temperature,Month
16.976,1
19.9026,2
24.3158,3
28.1834,4
27.8892,5
28.8925,6
28.3327,7
27.9243,8
27.6057,9
27.0887,10
22.1671,11
18.5574,12
18.5455,1
20.1252,2
25.5508,3
26.5562,4
27.3165,5
28.266,6
27.6247,7
28.1001,8
27.7271,9
26.0153,10
21.9907,11
18.2532,12
17.7023,1
19.5474,2
24.3562,3
28.0898,4
28.5913,5
27.906,6
28.6851,7
27.5889,8
27.7468,9
26.8644,10
22.4298,11
18.3745,12
17.7866,1
19.9656,2
25.0148,3
27.3117,4
27.1157,5
27.8145,6
27.4404,7
27.9148,8
27.9551,9
26.2871,10
22.1525,11
18.7779,12
17,1
17.8269,2
22.9851,3
25.4188,4
27.1236,5
29.0868,6
27.8607,7
27.4862,8
27.8164,9
26.5021,10
22.6873,11
18.6721,12
17.5423,1
19.4317,2
23.0485,3
27.9907,4
28.4449,5
28.2983,6
28.3345,7
27.4695,8
28.3886,9
26.428,10
22.7998,11
19.2146,12
19.0642,1
19.7055,2
23.1507,3
26.1498,4
27.6634,5
27.8377,6
27.8421,7
28.1978,8
27.8996,9
26.7797,10
22.7542,11
18.6971,12
17.2889,1
20.212,2
25.0639,3
29.3307,4
28.0869,5
28.3117,6
27.9535,7
28.0517,8
28.0101,9
26.5604,10
22.174,11
18.3258,12
18.6933,1
20.1593,2
25.9954,3
26.4867,4
27.9672,5
27.2679,6
28.1115,7
27.414,8
28.3398,9
26.8933,10
23.6615,11
19.1166,12
17.7787,1
19.9987,2
24.3738,3
26.912,4
27.8941,5
27.3892,6
27.3739,7
27.8772,8
28.2254,9
26.2802,10
22.3027,11
18.1829,12
19.0692,1
19.6118,2
23.8229,3
26.9944,4
27.6235,5
27.5065,6
28.14,7
27.754,8
27.7117,9
26.023,10
22.1109,11
17.7475,12
18.2763,1
20.9062,2
24.4209,3
26.0439,4
27.7741,5
28.3068,6
27.6907,7
27.7733,8
27.9862,9
26.2671,10
22.3421,11
18.3319,12
18.1365,1
20.7171,2
23.7257,3
27.9796,4
27.0109,5
26.8354,6
28.0541,7
27.7176,8
27.8885,9
26.0772,10
21.7421,11
18.151,12
17.9978,1
20.6822,2
24.4306,3
25.8496,4
27.4998,5
27.9523,6
28.0274,7
27.5587,8
27.6911,9
25.4273,10
22.4916,11
19.2066,12
18.8711,1
20.2688,2
24.1828,3
27.5293,4
27.6441,5
27.7751,6
28.176,7
28.1829,8
27.7224,9
28.1302,10
24.4903,11
19.089,12
17.8694,1
20.4223,2
25.6592,3
27.315,4
28.9475,5
27.6135,6
27.5322,7
27.8663,8
28.052,9
26.6718,10
23.0187,11
18.2218,12
17.4937,1
19.8716,2
23.8486,3
26.9286,4
27.1785,5
27.4378,6
27.777,7
27.8983,8
27.6864,9
26.5464,10
22.9189,11
18.5966,12
17.1998,1
20.0129,2
24.9119,3
26.6262,4
27.6326,5
26.4861,6
28.2649,7
27.4965,8
28.0696,9
26.5865,10
22.6765,11
18.4667,12
18.9095,1
19.706,2
25.8395,3
27.1635,4
28.165,5
28.0003,6
27.7889,7
28.3777,8
27.3902,9
26.4084,10
23.1173,11
18.9201,12
18.7317,1
19.8729,2
24.0729,3
27.0365,4
27.7238,5
28.6608,6
28.4222,7
27.8438,8
27.968,9
26.9096,10
23.1647,11
19.6288,12
19.0034,1
20.4179,2
25.4407,3
27.5527,4
28.8115,5
27.7312,6
28.1502,7
27.9259,8
28.1141,9
25.4904,10
22.401,11
19.1064,12
18.621,1
21.033,2
25.7471,3
28.5568,4
28.8271,5
27.3527,6
27.9223,7
27.8164,8
27.915,9
25.9622,10
23.0288,11
19.0427,12
18.6312,1
19.8836,2
24.9515,3
27.8685,4
28.1951,5
28.7014,6
27.8902,7
28.1404,8
28.085,9
26.1335,10
22.9939,11
19.4361,12
18.4881,1
20.5691,2
26.6422,3
28.7039,4
28.2107,5
29.0303,6
27.8485,7
27.8401,8
27.397,9
27.2626,10
22.7645,11
19.0319,12
16.9382,1
19.0482,2
24.7465,3
27.0765,4
27.1711,5
27.9974,6
27.6439,7
28.0744,8
27.5406,9
25.8388,10
22.5173,11
18.4914,12
18.0436,1
20.7124,2
23.8361,3
26.692,4
27.8134,5
28.874,6
27.8577,7
27.9764,8
28.0988,9
26.6226,10
21.9718,11
19.622,12
18.0251,1
19.7421,2
23.1684,3
27.5302,4
27.4235,5
28.3215,6
28.2326,7
27.9566,8
27.6875,9
26.8392,10
22.7253,11
19.4851,12
18.5036,1
21.1361,2
25.5137,3
27.8824,4
27.8043,5
27.5143,6
27.978,7
28.1385,8
28.4182,9
26.5972,10
22.4865,11
19.461,12
18.3725,1
19.683,2
25.1633,3
27.4018,4
28.3855,5
28.2485,6
27.9211,7
27.8708,8
27.9973,9
26.2202,10
22.3896,11
18.5883,12
17.1308,1
20.2585,2
24.836,3
27.5107,4
28.2023,5
27.7208,6
28.0704,7
27.8828,8
28.1845,9
26.5011,10
22.5794,11
18.6454,12
19.2912,1
20.5581,2
24.6265,3
28.3371,4
27.7868,5
28.8507,6
27.7335,7
28.6073,8
27.6722,9
26.9166,10
22.3272,11
19.425,12
18.7903,1
19.2857,2
25.3485,3
27.8492,4
27.9615,5
28.2926,6
27.9526,7
28.0368,8
28.1666,9
27.2559,10
23.2841,11
19.3707,12
17.267,1
20.9302,2
25.4578,3
26.6786,4
27.5726,5
27.705,6
27.8826,7
27.7244,8
28.0191,9
26.7932,10
22.5782,11
19.0815,12
17.9754,1
20.2944,2
25.0594,3
27.9356,4
28.2405,5
27.5306,6
28.1013,7
28.0593,8
28.4278,9
26.2628,10
22.1819,11
19.0272,12
17.6546,1
20.6904,2
25.3797,3
27.3559,4
29.3369,5
28.5321,6
28.4028,7
27.5299,8
28.0197,9
26.8749,10
23.2079,11
19.0876,12
17.6556,1
19.9519,2
25.6072,3
28.1323,4
27.7471,5
27.1586,6
27.9088,7
28.2978,8
27.8549,9
26.127,10
23.7141,11
19.6911,12
17.1468,1
20.2496,2
24.3094,3
28.0696,4
27.8123,5
28.2435,6
28.5889,7
27.9099,8
28.2349,9
26.6222,10
22.6849,11
19.1976,12
19.2664,1
19.4212,2
26.1933,3
29.1067,4
27.2286,5
27.6996,6
27.7973,7
28.1085,8
28.5279,9
27.2116,10
21.8681,11
18.9308,12
18.9613,1
21.0936,2
24.8663,3
28.8783,4
28.411,5
28.1074,6
27.7214,7
27.9175,8
27.7891,9
26.6052,10
22.8798,11
19.4199,12
17.8246,1
20.392,2
23.1225,3
27.9876,4
27.9565,5
28.3484,6
27.8575,7
28.2643,8
27.9643,9
27.0944,10
23.9458,11
19.7315,12
18.4257,1
20.9764,2
26.2475,3
28.4779,4
28.3179,5
27.7471,6
28.1991,7
28.3456,8
28.1701,9
26.4394,10
22.4904,11
20.364,12
18.5173,1
20.887,2
25.4426,3
27.5847,4
28.9374,5
28.9074,6
28.4444,7
27.8112,8
27.5892,9
27.0809,10
23.8591,11
19.2302,12
19.4068,1
19.539,2
24.4346,3
26.0894,4
28.1733,5
27.9244,6
27.8151,7
27.7138,8
28.1217,9
27.0109,10
23.7047,11
20.2734,12
18.4048,1
20.1012,2
25.0431,3
26.5521,4
29.1642,5
28.895,6
28.2518,7
28.3515,8
27.9998,9
26.8679,10
22.9212,11
20.3914,12
18.2015,1
19.3508,2
25.7198,3
27.5778,4
27.8711,5
28.6697,6
28.3827,7
28.2371,8
28.5058,9
26.2761,10
22.875,11
18.7336,12
18.7904,1
22.2759,2
25.2807,3
26.1737,4
27.7316,5
27.8769,6
27.7379,7
28.3153,8
28.0705,9
26.1231,10
23.7298,11
20.0773,12
18.4592,1
20.8343,2
25.3178,3
28.6075,4
28.4113,5
28.5211,6
28.12,7
28.0557,8
28.0439,9
26.1121,10
23.1268,11
20.073,12
18.8595,1
20.5453,2
24.3332,3
27.3178,4
27.2727,5
28.3304,6
27.6623,7
27.9189,8
28.1084,9
26.2712,10
23.4262,11
18.6645,12
18.691,1
20.196,2
24.974,3
25.4455,4
26.6293,5
27.9464,6
27.7579,7
27.877,8
27.8519,9
27.2007,10
22.2315,11
17.6854,12
18.5486,1
20.1997,2
24.4553,3
27.7109,4
28.4808,5
27.8493,6
27.7724,7
27.3795,8
28.1418,9
26.6353,10
22.3076,11
19.193,12
17.7884,1
20.5543,2
24.8184,3
27.2714,4
28.2118,5
28.0756,6
27.7922,7
28.3824,8
28.1077,9
27.2955,10
23.2622,11
20.3254,12
18.9548,1
21.9137,2
24.0828,3
27.0739,4
27.5969,5
28.4238,6
27.7268,7
28.033,8
27.7437,9
26.9695,10
23.0584,11
19.0419,12
17.715,1
21.4254,2
26.0308,3
28.252,4
28.0526,5
27.7573,6
27.7162,7
28.1521,8
27.7436,9
26.4653,10
22.6183,11
20.5814,12
17.2898,1
22.1992,2
25.2363,3
29.126,4
28.893,5
27.2109,6
27.8235,7
28.0071,8
28.1271,9
25.7316,10
21.666,11
19.3207,12
17.988,1
20.2242,2
25.517,3
27.234,4
28.6394,5
28.1113,6
27.3639,7
27.6166,8
27.976,9
27.0494,10
23.0927,11
18.576,12
18.2806,1
19.802,2
25.3792,3
27.949,4
28.0995,5
27.1197,6
27.6612,7
27.9301,8
27.6135,9
26.8891,10
22.9846,11
19.3905,12
18.6476,1
19.5143,2
24.0236,3
28.3691,4
29.2739,5
28.4367,6
28.0674,7
28.4941,8
28.1995,9
26.4778,10
22.6556,11
19.6706,12
19.7673,1
20.7237,2
25.5715,3
28.5818,4
28.8361,5
29.4177,6
28.4789,7
27.9477,8
28.3228,9
27.4873,10
23.6633,11
20.1148,12
18.5213,1
19.8572,2
24.6577,3
28.165,4
28.2968,5
28.168,6
28.0668,7
27.9072,8
27.3399,9
26.1549,10
22.3988,11
19.419,12
18.0893,1
22.1152,2
23.957,3
29.2185,4
29.2217,5
28.6191,6
27.5236,7
28.4533,8
27.8695,9
26.882,10
22.4092,11
19.7958,12
19.0652,1
19.0658,2
26.0556,3
28.555,4
28.4711,5
27.9452,6
28.0834,7
28.2561,8
27.8613,9
26.8185,10
22.0269,11
17.5351,12
17.0844,1
20.6306,2
25.1073,3
28.0974,4
27.9313,5
27.9382,6
28.6468,7
27.8838,8
28.3854,9
26.4392,10
22.4533,11
19.1662,12
17.7822,1
21.9651,2
24.9482,3
26.9333,4
27.1739,5
27.9536,6
28.0948,7
28.296,8
28.4266,9
26.5765,10
22.9553,11
19.7094,12
17.9709,1
21.1238,2
26.2558,3
27.2635,4
27.8866,5
28.2793,6
27.3133,7
28.2281,8
28.1808,9
27.1473,10
23.5157,11
19.7899,12
18.6764,1
20.4685,2
23.8589,3
27.4561,4
28.676,5
28.0528,6
27.5588,7
27.1909,8
27.7401,9
26.5774,10
23.1994,11
19.7873,12
18.4824,1
22.1565,2
25.1246,3
28.5128,4
29.1766,5
27.728,6
28.2117,7
27.9247,8
27.6962,9
25.7202,10
23.7204,11
19.1252,12
18.6105,1
21.2856,2
23.8405,3
26.5681,4
28.1967,5
28.1625,6
28.075,7
27.9847,8
27.4322,9
26.1048,10
21.6477,11
19.6023,12
17.9779,1
19.643,2
24.9615,3
27.1675,4
28.0834,5
26.9702,6
27.7856,7
28.0264,8
28.4405,9
26.4382,10
23.1298,11
19.5489,12
17.8455,1
21.0472,2
25.8095,3
27.8697,4
28.6643,5
28.1842,6
28.131,7
27.3112,8
28.0775,9
26.4501,10
23.2061,11
19.5562,12
17.8687,1
20.8429,2
25.1381,3
28.1814,4
28.8184,5
28.1102,6
27.7758,7
28.0489,8
27.7837,9
26.3453,10
22.8516,11
19.17,12
18.1881,1
19.7759,2
24.4476,3
26.2185,4
27.4486,5
27.438,6
27.1886,7
26.9405,8
27.8165,9
26.6511,10
22.2256,11
19.3208,12
18.7213,1
18.6849,2
25.0857,3
27.1956,4
29.0864,5
28.2846,6
28.3326,7
27.4792,8
28.1104,9
26.6273,10
23.1532,11
19.4455,12
18.8691,1
21.9105,2
24.1362,3
28.5821,4
27.042,5
27.8315,6
28.2071,7
27.9847,8
27.6703,9
26.7585,10
22.9698,11
19.0137,12
17.631,1
20.1513,2
24.6152,3
27.2181,4
27.6897,5
27.8498,6
27.0471,7
27.9089,8
27.4488,9
27.6097,10
24.1236,11
18.2645,12
18.0454,1
20.7283,2
25.4553,3
28.2002,4
28.0144,5
28.3837,6
27.1209,7
27.9833,8
27.5182,9
27.4014,10
22.4417,11
18.307,12
18.3264,1
21.1868,2
25.5237,3
27.7962,4
27.4224,5
27.5163,6
27.8497,7
27.3903,8
27.8908,9
26.592,10
24.3715,11
19.1128,12
17.9541,1
20.3662,2
26.3199,3
26.1722,4
26.4029,5
27.1542,6
27.9848,7
28.1256,8
28.3048,9
26.0245,10
23.717,11
19.1805,12
16.8006,1
20.2042,2
24.0473,3
27.0655,4
27.3758,5
27.4932,6
27.9215,7
28.6085,8
27.6907,9
27.517,10
24.0292,11
19.7649,12
19.1725,1
20.0549,2
24.9246,3
28.2364,4
29.526,5
28.8,6
28.2819,7
28.2275,8
28.0401,9
26.9451,10
25.1142,11
20.0687,12
18.2739,1
20.6525,2
25.0401,3
28.7934,4
27.1723,5
28.2177,6
28.1036,7
28.1573,8
28.396,9
26.4103,10
23.3395,11
20.3604,12
18.3163,1
20.644,2
24.1726,3
25.7174,4
27.1297,5
28.551,6
27.6783,7
28.462,8
27.9154,9
27.2273,10
23.4404,11
19.0389,12
18.9885,1
20.5124,2
23.7499,3
26.815,4
28.9711,5
27.9965,6
28.5086,7
27.9058,8
28.1703,9
27.0648,10
22.5962,11
18.8501,12
18.0039,1
19.7179,2
24.6127,3
26.9736,4
